id,feature,price,notes,max count,group
0,簡単な表情,$10,,10,
1,表情の動き,$30+,複雑さにより変動,10,
2,簡単なアニメーション,$70+,複雑さにより変動,10,
3,演出級アニメーション,$150+,複雑さにより変動,10,
4,複雑な尻尾／翼,$150+,複雑さにより変動,10,
5,獣耳／角／尻尾／翼,$50,,10,
6,追加衣装レイヤー,$300+,"切替機能付き、複雑さにより変動",2,
7,追加ヘアスタイル,$100,,3,
8,簡単な手の動き,$50,,7,
9,高度な手の動き,$200,最大3つまで追加可能,3,
10,前傾動作,$150,アニメーションのみ,1,lean
11,前傾トラッキング,$300+,"完全トラッキング、複雑さにより変動",1,lean
12,デフォルメ形態,$150+,複雑さにより変動,1,
13,特殊効果,$30,描き終わったPSD素材が必要,10,
14,既存プロジェクトの追加切替,$10,,10,
15,ペット／小物（例：マイク）,$100+,"描き終わったPSD素材が必要、複雑さにより変動",5,
