id,feature,price,notes,max count,group
0,간단한 표정,$10,,10,
1,표정 움직임,$30+,복잡도에 따라 다름,10,
2,간단한 애니메이션,$70+,복잡도에 따라 다름,10,
3,연출급 애니메이션,$150+,복잡도에 따라 다름,10,
4,복잡한 꼬리／날개,$150+,복잡도에 따라 다름,10,
5,짐승귀／뿔／꼬리／날개,$50,,10,
6,추가 의상 레이어,$300+,"전환 기능 포함, 복잡도에 따라 다름",2,
7,추가 헤어스타일,$100,,3,
8,간단한 손 동작,$50,,7,
9,고급 손 동작,$200,최대 3개까지 추가 가능,3,
10,앞으로 숙이기 동작,$150,애니메이션 전용,1,lean
11,앞으로 숙이기 트래킹,$300+,"전체 트래킹, 복잡도에 따라 다름",1,lean
12,SD 형태,$150+,복잡도에 따라 다름,1,
13,특수 효과,$30,완성된 PSD 소스 필요,10,
14,기존 프로젝트 추가 전환,$10,,10,
15,반려동물／소품（예: 마이크）,$100+,"완성된 PSD 소스 필요, 복잡도에 따라 다름",5,
